"idno";"intnum";"start";"unlikelystart";"end";"unlikelyend"
105;159;2021-07-26 20:03:00;"";2021-07-26 20:34:00;""
107;159;2021-07-24 15:58:00;"";2021-07-24 16:54:00;""
108;159;2021-07-25 18:46:00;"";2021-07-25 19:35:00;""
110;148;2021-07-23 19:27:00;"";2021-07-23 20:24:00;""
111;148;2021-07-26 17:20:00;"";2021-07-26 18:21:00;""
112;148;2021-07-22 11:41:00;"";2021-07-22 12:52:00;""
114;148;2021-07-25 12:46:00;"";2021-07-25 13:41:00;""
116;84;2021-08-07 15:18:00;"";2021-08-07 15:57:00;""
117;84;2021-08-10 17:52:00;"";2021-08-10 18:54:00;""
118;84;2021-08-14 19:23:00;"";2021-08-14 20:06:00;""
119;84;2021-08-04 14:21:00;"";2021-08-04 15:24:00;""
120;84;2021-08-08 19:58:00;"";2021-08-08 21:01:00;""
121;185;2021-07-17 17:41:00;"";2021-07-17 18:20:00;""
122;185;2021-07-20 10:19:00;"";2021-07-20 11:46:00;""
124;185;2021-07-20 13:56:00;"";2021-07-20 14:30:00;""
125;185;2021-07-18 10:11:00;"";2021-07-18 11:11:00;""
126;185;2021-07-15 16:21:00;"";2021-07-15 17:11:00;""
127;86;2021-07-30 16:03:00;"";2021-07-30 16:57:00;""
131;86;2021-07-29 18:47:00;"";2021-07-29 19:33:00;""
132;86;2021-07-31 19:11:00;"";2021-07-31 20:23:00;""
135;14;2021-08-09 11:09:00;"";2021-08-09 12:06:00;""
136;14;2021-08-08 20:55:00;"";2021-08-08 21:38:00;""
137;14;2021-08-09 12:36:00;"";2021-08-09 13:17:00;""
138;14;2021-08-09 15:07:00;"";2021-08-09 16:26:00;""
139;12;2021-07-10 11:52:00;"";2021-07-10 12:57:00;""
141;12;2021-07-12 18:12:00;"";2021-07-12 19:12:00;""
142;12;2021-07-12 20:18:00;"";2021-07-12 21:29:00;""
143;12;2021-07-14 18:01:00;"";2021-07-14 18:58:00;""
145;38;2021-07-21 10:42:00;"";2021-07-21 11:35:00;""
146;38;2021-07-28 12:19:00;"";2021-07-28 13:37:00;""
147;38;2021-07-27 19:35:00;"";2021-07-27 20:24:00;""
148;38;2021-07-31 10:34:00;"";2021-07-31 11:34:00;""
149;38;2021-07-21 13:02:00;"";2021-07-21 13:57:00;""
150;38;2021-07-30 20:38:00;"";2021-07-30 21:46:00;""
151;187;2021-08-15 16:52:00;"";2021-08-15 17:40:00;""
152;187;2021-08-27 18:41:00;"";2021-08-27 19:50:00;""
153;187;2021-08-18 17:04:00;"";2021-08-18 18:01:00;""
154;187;2021-08-17 19:33:00;"";2021-08-17 20:33:00;""
156;187;2021-08-15 18:49:00;"";2021-08-15 19:18:00;""
157;160;2021-08-16 16:30:00;"";2021-08-16 17:07:00;""
159;160;2021-08-18 17:40:00;"";2021-08-18 18:43:00;""
161;160;2021-08-22 11:33:00;"";2021-08-22 12:24:00;""
162;160;2021-08-15 16:26:00;"";2021-08-15 17:28:00;""
163;71;2021-08-30 20:16:00;"";2021-08-30 21:15:00;""
166;71;2021-08-18 09:47:00;"";2021-08-18 10:22:00;""
168;71;2021-08-14 12:01:00;"";2021-08-14 12:50:00;""
170;165;2021-07-28 18:00:00;"";2021-07-28 19:25:00;""
171;165;2021-07-24 10:09:00;"";2021-07-24 11:06:00;""
172;165;2021-07-24 12:38:00;"";2021-07-24 13:44:00;""
175;127;2021-07-13 16:44:00;"";2021-07-13 17:23:00;""
176;127;2021-07-25 17:07:00;"";2021-07-25 18:13:00;""
177;127;2021-07-18 11:17:00;"";2021-07-18 12:21:00;""
178;127;2021-07-19 15:43:00;"";2021-07-19 16:27:00;""
180;127;2021-07-16 13:53:00;"";2021-07-16 15:10:00;""
182;36;2021-08-12 20:47:00;"";2021-08-12 21:52:00;""
183;36;2021-08-04 17:49:00;"";2021-08-04 18:49:00;""
184;36;2021-08-14 12:03:00;"";2021-08-14 12:35:00;""
186;36;2021-08-07 16:13:00;"";2021-08-07 16:55:00;""
