"idno";"intnum";"speed"
15479;"713";252
15481;"774";1260
15493;"589";420
15500;"936";210
15501;"802";630
15502;"796";1260
15509;"839";1260
15518;"856";630
15525;"964";315
15534;"856";252
15535;"1145";180
15539;"324";420
15542;"358";630
15545;"920";1260
15565;"698";315
15575;"249";420
15580;"926";315
15592;"249";420
15594;"958";1260
15595;"170";180
15604;"713";252
15605;"890";315
15619;"314";1260
15623;"621";420
15626;"431";1260
15628;"139";420
15632;"551";1260
15633;"181";180
15645;"540";1260
15649;"1092";630
15656;"1028";630
15661;"713";315
15682;"131";1260
15702;"969";1260
15703;"1095";630
15705;"696";1260
15741;"1149";315
15742;"1108";630
15747;"583";1260
15750;"442";315
15771;"119";630
15776;"375";157.5
15783;"507";1260
15814;"141";1260
15817;"131";252
15818;"424";140
15836;"1150";630
15842;"1021";315
15850;"933";1260
15867;"622";420
15870;"1008";1260
15876;"635";252
15888;"964";1260
15914;"1103";1260
15916;"920";1260
15925;"881";630
15933;"517";1260
15934;"867";630
15947;"276";420
15957;"822";630
15972;"323";1260
15978;"376";315
15979;"181";1260
15994;"549";420
15996;"216";1260
15998;"422";630
16005;"1103";630
16011;"574";1260
16030;"173";315
16033;"129";1260
16035;"807";420
16040;"1105";1260
16042;"819";1260
16055;"1109";180
16058;"992";1260
16065;"124";630
16066;"863";630
16074;"652";180
16076;"353";315
16092;"111";315
16094;"487";1260
16097;"931";1260
16100;"1146";180
16120;"639";1260
16128;"807";630
16131;"1008";1260
16137;"1153";1260
16141;"652";1260
16148;"1047";630
16150;"944";1260
16152;"992";630
16156;"819";252
16175;"621";1260
16189;"517";420
16191;"175";1260
16196;"314";1260
16197;"281";1260
16198;"294";1260
16211;"1103";1260
16226;"314";630
16236;"422";1260
16241;"272";1260
16255;"920";1260
16258;"982";630
16267;"501";630
16271;"932";315
16283;"986";630
16284;"671";210
16292;"408";1260
16293;"986";1260
16298;"719";315
16331;"190";630
16333;"129";315
16337;"476";180
16340;"863";1260
16346;"790";180
16359;"768";1260
16366;"1149";210
16382;"932";157.5
16387;"924";1260
16388;"958";1260
16391;"522";180
16400;"822";252
16401;"933";630
16415;"181";315
16418;"982";1260
16424;"1154";180
16425;"920";1260
16436;"611";630
16440;"329";210
16442;"268";420
16451;"1069";180
16452;"1105";1260
16455;"1093";420
16458;"608";1260
16467;"446";1260
16469;"248";1260
16470;"173";1260
16477;"139";180
16482;"713";420
16488;"696";315
16493;"681";1260
16504;"442";252
16513;"1004";420
16535;"1103";1260
16537;"449";210
16539;"131";210
16558;"574";1260
16568;"819";630
16578;"1069";1260
16584;"698";315
16595;"237";630
16601;"287";630
16623;"833";315
16632;"476";1260
16634;"1047";630
16647;"685";630
16650;"639";1260
16653;"1145";420
16663;"574";630
16669;"1132";1260
16673;"693";315
16686;"958";630
16687;"833";1260
16703;"1097";420
16704;"378";630
16712;"154";315
16714;"213";1260
16717;"867";630
16718;"374";1260
16720;"175";630
16738;"237";630
16747;"129";630
16761;"173";210
16762;"964";1260
16766;"170";180
16769;"863";157.5
16773;"213";252
16780;"170";180
16782;"554";630
16792;"173";1260
16806;"856";1260
16830;"652";1260
16838;"621";630
16844;"1017";1260
16847;"685";630
16851;"774";1260
16866;"769";180
16872;"903";1260
16875;"910";1260
16882;"841";1260
16884;"681";630
16897;"825";630
16899;"613";1260
16905;"1095";630
16907;"621";630
16925;"616";252
16940;"647";630
16942;"982";1260
16943;"944";630
16948;"496";630
16950;"549";1260
16951;"323";420
16960;"481";315
16966;"1063";315
16975;"1028";630
16984;"375";420
16999;"345";630
17001;"1153";630
17007;"345";420
17020;"489";210
17024;"821";1260
17053;"487";630
17058;"422";630
17065;"534";420
17074;"903";1260
17076;"446";210
17086;"671";1260
17090;"783";630
17092;"819";252
17093;"845";420
17094;"783";1260
17105;"1018";630
17107;"1155";252
17125;"790";140
17132;"1021";420
17136;"353";180
17158;"1108";180
17167;"124";252
17169;"924";1260
17182;"731";1260
17187;"276";630
17188;"1021";630
17209;"807";252
17215;"936";180
17219;"1154";315
17221;"175";630
17225;"249";630
17231;"774";1260
17241;"1028";630
17244;"487";252
17247;"540";1260
17258;"1125";1260
17259;"622";420
17269;"1004";1260
17270;"1145";630
17274;"242";1260
17280;"856";1260
17282;"833";1260
17284;"242";180
17288;"1008";1260
17319;"936";315
17325;"424";630
17326;"836";630
17329;"376";630
17330;"378";1260
17335;"442";420
17337;"796";180
17366;"1048";420
17371;"170";630
17382;"818";630
17388;"323";420
17401;"960";1260
17411;"1093";1260
17413;"345";1260
17416;"272";1260
17428;"1069";315
17429;"807";315
17444;"522";180
17452;"442";1260
17455;"589";420
17457;"119";630
17472;"1095";420
17473;"539";420
17476;"442";315
17479;"581";420
17481;"131";420
17484;"375";1260
17486;"1095";630
17489;"348";420
17502;"138";1260
17519;"481";315
17529;"807";180
17535;"1153";420
17536;"635";1260
17539;"1093";630
17552;"796";180
17555;"1004";1260
17560;"669";630
17573;"408";1260
17586;"186";630
17592;"1145";1260
17594;"276";1260
17596;"583";1260
17598;"870";1260
17603;"621";1260
17613;"1011";210
17614;"242";630
17615;"1018";630
17630;"807";630
17634;"1004";1260
17640;"446";1260
17642;"1021";1260
17647;"986";1260
17653;"1004";315
17661;"1125";315
17675;"903";630
17683;"652";252
17685;"470";630
17686;"822";630
17687;"1095";420
17691;"668";630
17694;"978";630
17697;"489";630
17702;"129";630
17707;"287";420
17720;"316";420
17732;"821";1260
17738;"496";630
17746;"932";1260
17747;"818";1260
17750;"542";630
17762;"1108";1260
17764;"1125";420
17781;"294";1260
17785;"818";630
17794;"681";252
17795;"1028";630
17796;"1105";1260
17799;"845";1260
17810;"825";180
17817;"822";420
17833;"281";1260
17839;"608";630
17840;"1093";1260
17843;"386";630
17848;"141";315
17872;"822";630
17877;"978";315
17894;"215";1260
17900;"610";420
17903;"481";630
17909;"1011";1260
17911;"671";1260
17914;"819";210
17935;"154";180
17938;"540";1260
17962;"960";630
17964;"389";630
17965;"479";1260
17972;"189";1260
17980;"500";1260
18002;"1008";1260
18015;"969";1260
18018;"802";630
18027;"1048";1260
18036;"807";630
18052;"890";1260
18059;"1155";630
18063;"1145";315
18068;"1133";1260
18072;"453";210
18074;"807";315
18076;"1097";210
18082;"253";180
18087;"375";1260
18089;"570";630
18091;"492";1260
18099;"718";420
18101;"178";630
18107;"348";420
18129;"551";315
18136;"1097";1260
18147;"358";1260
18151;"1132";630
18176;"610";315
18184;"964";630
18217;"608";157.5
18223;"845";420
18239;"471";1260
18243;"833";180
18245;"986";1260
18251;"124";420
18253;"924";1260
18255;"1018";1260
18257;"920";1260
18278;"819";315
18286;"693";1260
18290;"222";315
18292;"1048";1260
18296;"1047";252
18298;"500";630
18319;"522";630
18347;"881";630
18359;"863";315
18365;"964";420
18368;"1095";1260
18371;"1011";630
18380;"693";630
18397;"1095";630
18402;"671";1260
18404;"931";315
18408;"374";315
18424;"807";630
18429;"517";1260
18430;"1070";630
18434;"725";210
18448;"756";1260
18450;"992";1260
18463;"453";420
18467;"358";630
18469;"616";1260
18473;"698";315
18475;"774";1260
18479;"944";315
18484;"1092";210
18485;"264";630
18498;"768";180
