"idno";"intnum";"int_period";"duration"
457;21;2021-07-16 15:46:00 UTC--2021-07-16 16:48:00 UTC;62
458;21;2021-07-19 13:26:00 UTC--2021-07-19 14:10:00 UTC;44
459;21;2021-07-16 17:32:00 UTC--2021-07-16 18:40:00 UTC;68
460;21;2021-07-19 15:48:00 UTC--2021-07-19 16:29:00 UTC;41
461;21;2021-07-19 18:30:00 UTC--2021-07-19 19:14:00 UTC;44
463;53;2021-08-13 18:32:00 UTC--2021-08-13 19:27:00 UTC;55
464;53;2021-08-06 19:37:00 UTC--2021-08-06 21:14:00 UTC;97
466;53;2021-08-07 10:14:00 UTC--2021-08-07 11:04:00 UTC;50
467;53;2021-08-10 12:26:00 UTC--2021-08-10 13:12:00 UTC;46
468;53;2021-08-11 16:31:00 UTC--2021-08-11 17:45:00 UTC;74
469;68;2021-07-11 17:52:00 UTC--2021-07-11 18:43:00 UTC;51
470;68;2021-07-23 14:01:00 UTC--2021-07-23 15:08:00 UTC;67
471;68;2021-07-09 17:00:00 UTC--2021-07-09 17:54:00 UTC;54
472;68;2021-07-13 18:04:00 UTC--2021-07-13 19:00:00 UTC;56
474;68;2021-07-08 11:53:00 UTC--2021-07-08 12:28:00 UTC;35
475;2;2021-09-06 14:45:00 UTC--2021-09-06 15:36:00 UTC;51
476;2;2021-09-05 21:31:00 UTC--2021-09-05 22:27:00 UTC;56
477;2;2021-09-08 15:55:00 UTC--2021-09-08 16:48:00 UTC;53
478;2;2021-09-08 18:50:00 UTC--2021-09-08 19:50:00 UTC;60
479;2;2021-09-04 15:29:00 UTC--2021-09-04 16:12:00 UTC;43
480;2;2021-09-09 19:32:00 UTC--2021-09-09 20:22:00 UTC;50
481;161;2021-08-13 10:30:00 UTC--2021-08-13 11:09:00 UTC;39
483;161;2021-08-15 19:00:00 UTC--2021-08-15 19:42:00 UTC;42
484;161;2021-08-10 13:07:00 UTC--2021-08-10 14:14:00 UTC;67
485;161;2021-08-11 16:12:00 UTC--2021-08-11 16:59:00 UTC;47
