"intnum";"idno";"cntry";"interval";"overlap"
14;913;"CZ";2021-07-18 20:44:00 UTC--2021-07-18 22:08:00 UTC;FALSE
14;712;"CZ";2021-08-06 17:24:00 UTC--2021-08-06 18:15:00 UTC;FALSE
14;714;"CZ";2021-08-06 19:19:00 UTC--2021-08-06 20:19:00 UTC;FALSE
14;713;"CZ";2021-08-07 14:37:00 UTC--2021-08-07 15:28:00 UTC;FALSE
14;136;"CZ";2021-08-08 20:55:00 UTC--2021-08-08 21:38:00 UTC;FALSE
14;135;"CZ";2021-08-09 11:09:00 UTC--2021-08-09 12:06:00 UTC;FALSE
14;137;"CZ";2021-08-09 12:36:00 UTC--2021-08-09 13:17:00 UTC;FALSE
14;138;"CZ";2021-08-09 15:07:00 UTC--2021-08-09 16:26:00 UTC;FALSE
14;709;"CZ";2021-08-10 16:58:00 UTC--2021-08-10 17:37:00 UTC;FALSE
15;2559;"CZ";2021-07-21 13:41:00 UTC--2021-07-21 14:39:00 UTC;FALSE
15;2811;"CZ";2021-07-21 15:29:00 UTC--2021-07-21 16:48:00 UTC;FALSE
15;2812;"CZ";2021-07-24 20:15:00 UTC--2021-07-24 21:33:00 UTC;FALSE
15;2810;"CZ";2021-07-25 18:00:00 UTC--2021-07-25 19:10:00 UTC;FALSE
15;2814;"CZ";2021-07-26 17:56:00 UTC--2021-07-26 18:48:00 UTC;FALSE
15;2558;"CZ";2021-07-27 16:08:00 UTC--2021-07-27 17:10:00 UTC;FALSE
15;1114;"CZ";2021-07-29 13:09:00 UTC--2021-07-29 13:56:00 UTC;FALSE
15;2560;"CZ";2021-08-01 14:11:00 UTC--2021-08-01 15:06:00 UTC;FALSE
15;2813;"CZ";2021-08-02 14:24:00 UTC--2021-08-02 15:17:00 UTC;FALSE
15;903;"CZ";2021-08-05 17:47:00 UTC--2021-08-05 18:59:00 UTC;FALSE
15;904;"CZ";2021-08-08 19:28:00 UTC--2021-08-08 20:07:00 UTC;FALSE
15;905;"CZ";2021-08-10 20:45:00 UTC--2021-08-10 21:45:00 UTC;FALSE
15;902;"CZ";2021-08-12 19:43:00 UTC--2021-08-12 21:05:00 UTC;FALSE
15;906;"CZ";2021-08-12 21:50:00 UTC--2021-08-12 22:54:00 UTC;FALSE
16;839;"CZ";2021-07-15 13:36:00 UTC--2021-07-15 14:39:00 UTC;FALSE
16;840;"CZ";2021-07-15 15:28:00 UTC--2021-07-15 16:09:00 UTC;FALSE
16;835;"CZ";2021-07-17 07:55:00 UTC--2021-07-17 08:44:00 UTC;FALSE
16;836;"CZ";2021-07-18 08:16:00 UTC--2021-07-18 09:16:00 UTC;FALSE
16;838;"CZ";2021-07-18 10:58:00 UTC--2021-07-18 12:01:00 UTC;FALSE
16;837;"CZ";2021-07-20 18:06:00 UTC--2021-07-20 18:53:00 UTC;FALSE
16;1414;"CZ";2021-07-22 11:52:00 UTC--2021-07-22 12:39:00 UTC;FALSE
16;1415;"CZ";2021-07-25 11:13:00 UTC--2021-07-25 12:20:00 UTC;FALSE
16;1411;"CZ";2021-07-26 15:37:00 UTC--2021-07-26 16:47:00 UTC;FALSE
16;1412;"CZ";2021-07-27 13:31:00 UTC--2021-07-27 14:12:00 UTC;FALSE
16;1413;"CZ";2021-07-29 14:42:00 UTC--2021-07-29 15:47:00 UTC;FALSE
17;1304;"CZ";2021-08-22 14:42:00 UTC--2021-08-22 15:31:00 UTC;FALSE
17;1306;"CZ";2021-08-23 16:21:00 UTC--2021-08-23 17:02:00 UTC;FALSE
17;1307;"CZ";2021-08-23 18:22:00 UTC--2021-08-23 19:29:00 UTC;FALSE
17;1305;"CZ";2021-08-24 17:37:00 UTC--2021-08-24 18:36:00 UTC;FALSE
17;1308;"CZ";2021-08-27 16:12:00 UTC--2021-08-27 17:06:00 UTC;FALSE
17;1034;"CZ";2021-08-27 19:50:00 UTC--2021-08-27 20:50:00 UTC;FALSE
17;1303;"CZ";2021-08-29 14:43:00 UTC--2021-08-29 15:28:00 UTC;FALSE
17;1033;"CZ";2021-08-29 17:44:00 UTC--2021-08-29 18:39:00 UTC;FALSE
17;1037;"CZ";2021-08-29 20:48:00 UTC--2021-08-29 21:55:00 UTC;FALSE
17;1036;"CZ";2021-08-31 14:03:00 UTC--2021-08-31 14:55:00 UTC;FALSE
17;1035;"CZ";2021-09-02 15:19:00 UTC--2021-09-02 16:22:00 UTC;FALSE
18;2985;"CZ";2021-08-25 16:50:00 UTC--2021-08-25 17:45:00 UTC;FALSE
18;2988;"CZ";2021-08-26 10:39:00 UTC--2021-08-26 11:20:00 UTC;FALSE
18;2983;"CZ";2021-08-27 14:35:00 UTC--2021-08-27 15:43:00 UTC;FALSE
18;1334;"CZ";2021-08-27 16:17:00 UTC--2021-08-27 17:11:00 UTC;FALSE
18;2984;"CZ";2021-08-28 14:02:00 UTC--2021-08-28 14:52:00 UTC;FALSE
18;1335;"CZ";2021-08-28 17:06:00 UTC--2021-08-28 18:01:00 UTC;FALSE
18;1338;"CZ";2021-08-28 19:07:00 UTC--2021-08-28 20:02:00 UTC;FALSE
18;2987;"CZ";2021-08-29 17:19:00 UTC--2021-08-29 18:08:00 UTC;FALSE
18;1333;"CZ";2021-08-30 18:07:00 UTC--2021-08-30 18:57:00 UTC;FALSE
18;1337;"CZ";2021-09-06 20:42:00 UTC--2021-09-06 21:35:00 UTC;FALSE
19;1755;"CZ";2021-07-09 10:01:00 UTC--2021-07-09 10:40:00 UTC;FALSE
19;1754;"CZ";2021-07-10 17:38:00 UTC--2021-07-10 18:15:00 UTC;FALSE
19;1756;"CZ";2021-07-13 15:57:00 UTC--2021-07-13 16:33:00 UTC;FALSE
19;1753;"CZ";2021-07-16 10:18:00 UTC--2021-07-16 10:57:00 UTC;FALSE
19;1758;"CZ";2021-07-19 19:01:00 UTC--2021-07-19 19:46:00 UTC;FALSE
19;2869;"CZ";2021-08-15 13:51:00 UTC--2021-08-15 14:49:00 UTC;FALSE
19;2872;"CZ";2021-08-16 15:09:00 UTC--2021-08-16 16:04:00 UTC;FALSE
19;2871;"CZ";2021-08-18 16:09:00 UTC--2021-08-18 17:06:00 UTC;FALSE
19;2870;"CZ";2021-08-21 15:28:00 UTC--2021-08-21 16:30:00 UTC;FALSE
19;2874;"CZ";2021-08-23 13:17:00 UTC--2021-08-23 14:09:00 UTC;FALSE
20;1345;"CZ";2021-07-17 20:13:00 UTC--2021-07-17 21:12:00 UTC;FALSE
20;1347;"CZ";2021-07-18 10:33:00 UTC--2021-07-18 11:09:00 UTC;FALSE
20;1348;"CZ";2021-07-18 13:15:00 UTC--2021-07-18 14:31:00 UTC;FALSE
21;457;"CZ";2021-07-16 15:46:00 UTC--2021-07-16 16:48:00 UTC;FALSE
21;459;"CZ";2021-07-16 17:32:00 UTC--2021-07-16 18:40:00 UTC;FALSE
21;458;"CZ";2021-07-19 13:26:00 UTC--2021-07-19 14:10:00 UTC;FALSE
21;460;"CZ";2021-07-19 15:48:00 UTC--2021-07-19 16:29:00 UTC;FALSE
21;461;"CZ";2021-07-19 18:30:00 UTC--2021-07-19 19:14:00 UTC;FALSE
22;2333;"CZ";2021-07-11 13:25:00 UTC--2021-07-11 14:23:00 UTC;FALSE
22;2330;"CZ";2021-07-13 09:44:00 UTC--2021-07-13 10:54:00 UTC;FALSE
22;2331;"CZ";2021-07-13 11:24:00 UTC--2021-07-13 12:19:00 UTC;FALSE
22;2334;"CZ";2021-07-14 16:16:00 UTC--2021-07-14 17:15:00 UTC;FALSE
22;2329;"CZ";2021-07-16 17:29:00 UTC--2021-07-16 18:38:00 UTC;FALSE
23;2383;"CZ";2021-08-18 10:36:00 UTC--2021-08-18 11:22:00 UTC;FALSE
23;2386;"CZ";2021-08-19 16:59:00 UTC--2021-08-19 18:00:00 UTC;FALSE
23;2385;"CZ";2021-08-20 12:31:00 UTC--2021-08-20 13:33:00 UTC;FALSE
23;863;"CZ";2021-08-20 17:54:00 UTC--2021-08-20 19:03:00 UTC;FALSE
23;2384;"CZ";2021-08-21 18:44:00 UTC--2021-08-21 19:44:00 UTC;FALSE
23;859;"CZ";2021-08-21 20:34:00 UTC--2021-08-21 21:32:00 UTC;FALSE
23;862;"CZ";2021-08-22 19:23:00 UTC--2021-08-22 20:23:00 UTC;FALSE
23;860;"CZ";2021-08-27 15:39:00 UTC--2021-08-27 16:36:00 UTC;FALSE
23;2388;"CZ";2021-08-29 10:18:00 UTC--2021-08-29 11:27:00 UTC;FALSE
24;2966;"CZ";2021-08-28 18:39:00 UTC--2021-08-28 19:38:00 UTC;FALSE
24;2967;"CZ";2021-08-29 19:40:00 UTC--2021-08-29 20:13:00 UTC;FALSE
24;2969;"CZ";2021-08-31 17:35:00 UTC--2021-08-31 18:25:00 UTC;FALSE
24;497;"CZ";2021-09-15 20:05:00 UTC--2021-09-15 20:52:00 UTC;FALSE
24;498;"CZ";2021-09-15 21:35:00 UTC--2021-09-15 22:32:00 UTC;FALSE
25;234;"CZ";2021-07-22 17:26:00 UTC--2021-07-22 18:17:00 UTC;FALSE
25;229;"CZ";2021-07-23 17:08:00 UTC--2021-07-23 18:04:00 UTC;FALSE
25;230;"CZ";2021-07-24 18:53:00 UTC--2021-07-24 19:37:00 UTC;FALSE
25;232;"CZ";2021-07-26 16:54:00 UTC--2021-07-26 17:41:00 UTC;FALSE
25;1724;"CZ";2021-08-07 17:29:00 UTC--2021-08-07 18:19:00 UTC;FALSE
25;1728;"CZ";2021-08-08 20:47:00 UTC--2021-08-08 21:36:00 UTC;FALSE
25;1725;"CZ";2021-08-10 20:14:00 UTC--2021-08-10 21:01:00 UTC;FALSE
25;1723;"CZ";2021-08-11 16:02:00 UTC--2021-08-11 17:20:00 UTC;FALSE
25;1726;"CZ";2021-08-11 18:46:00 UTC--2021-08-11 19:58:00 UTC;FALSE
26;403;"CZ";2021-07-17 10:47:00 UTC--2021-07-17 12:06:00 UTC;FALSE
26;406;"CZ";2021-07-19 15:05:00 UTC--2021-07-19 15:40:00 UTC;FALSE
26;404;"CZ";2021-07-20 18:39:00 UTC--2021-07-20 19:24:00 UTC;FALSE
26;1152;"CZ";2021-07-21 18:52:00 UTC--2021-07-21 19:52:00 UTC;FALSE
26;1811;"CZ";2021-07-22 15:35:00 UTC--2021-07-22 16:29:00 UTC;FALSE
26;1150;"CZ";2021-07-22 18:56:00 UTC--2021-07-22 19:57:00 UTC;FALSE
26;1809;"CZ";2021-07-25 12:00:00 UTC--2021-07-25 12:50:00 UTC;FALSE
26;1148;"CZ";2021-07-25 14:12:00 UTC--2021-07-25 14:51:00 UTC;FALSE
26;1147;"CZ";2021-07-26 18:14:00 UTC--2021-07-26 19:24:00 UTC;FALSE
26;1812;"CZ";2021-07-27 16:10:00 UTC--2021-07-27 16:45:00 UTC;FALSE
26;1149;"CZ";2021-07-27 18:23:00 UTC--2021-07-27 18:59:00 UTC;FALSE
26;1807;"CZ";2021-08-01 15:53:00 UTC--2021-08-01 16:47:00 UTC;FALSE
27;2125;"CZ";2021-07-23 07:21:00 UTC--2021-07-23 08:23:00 UTC;FALSE
27;2127;"CZ";2021-07-23 10:37:00 UTC--2021-07-23 11:18:00 UTC;FALSE
27;1133;"CZ";2021-07-23 14:20:00 UTC--2021-07-23 15:05:00 UTC;FALSE
